ACCESSION NUMBER,CONFORMED SUBMISSION TYPE,PUBLIC DOCUMENT COUNT,CONFORMED PERIOD OF REPORT,FILED AS OF DATE,DATE AS OF CHANGE,REPORTING-OWNER,REPORTING-OWNER_OWNER_DATA,REPORTING-OWNER_COMPANY_CONFORMED_NAME,REPORTING-OWNER_CENTRAL_INDEX_KEY,REPORTING-OWNER_FILING_VALUES,REPORTING-OWNER_FORM_TYPE,REPORTING-OWNER_SEC_ACT,REPORTING-OWNER_SEC_FILE_NUMBER,REPORTING-OWNER_FILM_NUMBER,REPORTING-OWNER_MAIL_ADDRESS,REPORTING-OWNER_STREET_1,REPORTING-OWNER_STREET_2,REPORTING-OWNER_CITY,REPORTING-OWNER_STATE,REPORTING-OWNER_ZIP,ISSUER,ISSUER_COMPANY_DATA,ISSUER_COMPANY_CONFORMED_NAME,ISSUER_CENTRAL_INDEX_KEY,ISSUER_STANDARD_INDUSTRIAL_CLASSIFICATION,ISSUER_IRS_NUMBER,ISSUER_STATE_OF_INCORPORATION,ISSUER_FISCAL_YEAR_END,ISSUER_BUSINESS_ADDRESS,ISSUER_STREET_1,ISSUER_STREET_2,ISSUER_CITY,ISSUER_STATE,ISSUER_ZIP,ISSUER_BUSINESS_PHONE,ISSUER_MAIL_ADDRESS,ISSUER_FORMER_COMPANY,ISSUER_FORMER_CONFORMED_NAME,ISSUER_DATE_OF_NAME_CHANGE,ITEM INFORMATION,EFFECTIVENESS DATE,FILER,FILER_COMPANY_DATA,FILER_COMPANY_CONFORMED_NAME,FILER_CENTRAL_INDEX_KEY,FILER_IRS_NUMBER,FILER_STATE_OF_INCORPORATION,FILER_FISCAL_YEAR_END,FILER_FILING_VALUES,FILER_FORM_TYPE,FILER_SEC_ACT,FILER_SEC_FILE_NUMBER,FILER_FILM_NUMBER,FILER_BUSINESS_ADDRESS,FILER_STREET_1,FILER_CITY,FILER_STATE,FILER_ZIP,FILER_BUSINESS_PHONE,FILER_MAIL_ADDRESS,REPORTING-OWNER_BUSINESS_ADDRESS,REPORTING-OWNER_BUSINESS_PHONE,REPORTING-OWNER_STATE_OF_INCORPORATION,REPORTING-OWNER_FISCAL_YEAR_END,GROUP MEMBERS,SUBJECT COMPANY,SUBJECT_COMPANY_COMPANY_DATA,SUBJECT_COMPANY_COMPANY_CONFORMED_NAME,SUBJECT_COMPANY_CENTRAL_INDEX_KEY,SUBJECT_COMPANY_STANDARD_INDUSTRIAL_CLASSIFICATION,SUBJECT_COMPANY_IRS_NUMBER,SUBJECT_COMPANY_FISCAL_YEAR_END,SUBJECT_COMPANY_FILING_VALUES,SUBJECT_COMPANY_FORM_TYPE,SUBJECT_COMPANY_SEC_ACT,SUBJECT_COMPANY_SEC_FILE_NUMBER,SUBJECT_COMPANY_FILM_NUMBER,SUBJECT_COMPANY_BUSINESS_ADDRESS,SUBJECT_COMPANY_STREET_1,SUBJECT_COMPANY_CITY,SUBJECT_COMPANY_STATE,SUBJECT_COMPANY_ZIP,SUBJECT_COMPANY_BUSINESS_PHONE,SUBJECT_COMPANY_MAIL_ADDRESS,SUBJECT_COMPANY_FORMER_COMPANY,SUBJECT_COMPANY_FORMER_CONFORMED_NAME,SUBJECT_COMPANY_DATE_OF_NAME CHANGE,FILED BY,FILED_BY_COMPANY_DATA,FILED_BY_COMPANY_CONFORMED_NAME,FILED_BY_CENTRAL_INDEX_KEY,FILED_BY_FILING_VALUES,FILED_BY_FORM_TYPE,FILED_BY_MAIL_ADDRESS,FILED_BY_STREET_1,FILED_BY_CITY,FILED_BY_STATE,FILED_BY_ZIP,SUBJECT_COMPANY_STATE_OF_INCORPORATION,SUBJECT_COMPANY_STREET_2,FILED_BY_IRS_NUMBER,FILED_BY_STATE_OF_INCORPORATION,FILED_BY_FISCAL_YEAR_END,FILED_BY_BUSINESS_ADDRESS,FILED_BY_BUSINESS_PHONE,FILER_STANDARD_INDUSTRIAL_CLASSIFICATION,FILER_FORMER_COMPANY,FILER_FORMER_CONFORMED_NAME,FILER_DATE_OF_NAME_CHANGE,FILER_STREET_2,FILED_BY_STANDARD_INDUSTRIAL_CLASSIFICATION,FILED_BY_STREET_2,FILED_BY_FORMER_COMPANY,FILED_BY_FORMER_CONFORMED_NAME,FILED_BY_DATE_OF_NAME CHANGE
0001104659-20-131999,4,1,20201202,20201203,20201203,,,Christianson Jon,0001772607,,4,1934 Act,001-38873,201366960,,7979 IVANHOE AVENUE,SUITE 500,LA JOLLA,CA,92037,,,"Palomar Holdings, Inc.",0001761312,"FIRE, MARINE & CASUALTY INSURANCE [6331]",000000000,DE,1231,,7979 IVANHOE AVENUE,SUITE 500,LA JOLLA,CA,92037,619-567-5290,,,GC Palomar Holdings,20181211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001704675-20-000001,D/A,1,,20201203,20201203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<ITEMS>06b,20201203,,,"ChromaCode, Inc.",0001704675,461572315,DE,1231,,D/A,1933 Act,021-346766,201366113,,2075 CORTE DEL NOGAL,CARLSBAD,CA,92011,442-244-4369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001275158-20-000132,4,2,20201201,20201203,20201203,,,"Catterton-Noodles Holdings, LLC",0001821968,,4,1934 Act,001-35987,201367027,,599 W PUTNAM AVE,STE 200,GREENWICH,CT,06831,,,NOODLES & Co,0001275158,RETAIL-EATING PLACES [5812],841303469,,1229,,"520 ZANG ST., SUITE D",,BROOMFIELD,CO,80021,7202141921,,,NOODLES & CO,20040102,,,,,,,,,,,,,,,,,,,,,,,(203) 629-4901,DE,1231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001104659-20-132024,SC 13D/A,1,,20201203,20201203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCOTT A. DAHNKE,,,NOODLES & Co,0001275158,RETAIL-EATING PLACES [5812],841303469,1229,,SC 13D/A,1934 Act,005-87944,201367352,,"520 ZANG ST., SUITE D",BROOMFIELD,CO,80021,7202141921,,,NOODLES & CO,20040102,,,Chu James Michael,0001544498,,SC 13D/A,,599 WEST PUTNAM AVENUE,GREENWICH,CT,06830,,,,,,,,,,,,,,,,,
0001209191-20-061533,4,1,20201201,20201203,20201203,,,Cirne Lewis,0001623920,,4,1934 Act,001-36766,201367701,,"C/O NEW RELIC, INC.","188 SPEAR STREET, STE. 1200",SAN FRANCISCO,CA,94105,,,"NEW RELIC, INC.",0001448056,SERVICES-PREPACKAGED SOFTWARE [7372],262017431,DE,0331,,"188 SPEAR STREET, STE. 1000",,SAN FRANCISCO,CA,94105,650-777-7600,,,NEW RELIC INC,20081016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001193805-20-001490,F-6EF,4,,20201203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20201203,,,,,,,,,,,,,,,,,,,,,,,,,,,Smoore International Holdings Ltd./ADR,0001834836,,000000000,1231,,F-6EF,1933 Act,333-251102,201366928,,"C/O CITIBANK, N.A.",NEW YORK,NY,10013,212-816-3761,,,,,,,"Citibank,N.A./ADR",0001472033,,F-6EF,,"388 GREENWICH STREET, 14TH FLOOR",NEW YORK,NY,10013,E9,388 GREENWICH ST,521568099,DC,1231,,212-816-6647,,,,,,,,,,
0000950103-20-023637,424B2,6,,20201203,20201202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,112418067,NY,1231,,424B2,1933 Act,333-224495-03,201365055,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",,SALOMON INC,19920703,38TH FLOOR,,,,,
0000950103-20-023640,424B2,16,,20201203,20201202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,112418067,NY,1231,,424B2,1933 Act,333-224495-03,201365174,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",,SALOMON INC,19920703,38TH FLOOR,,,,,
0000950103-20-023641,424B2,16,,20201203,20201202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,112418067,NY,1231,,424B2,1933 Act,333-224495-03,201365184,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",,SALOMON INC,19920703,38TH FLOOR,,,,,
0000950103-20-023642,424B2,3,,20201203,20201202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citigroup Global Markets Holdings Inc.,0000200245,112418067,NY,1231,,424B2,1933 Act,333-224495-03,201365194,,388 GREENWICH ST,NEW YORK,NY,10013,2128166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211]",,SALOMON INC,19920703,38TH FLOOR,,,,,
